aqsid,param,dur,year,rows,source_file
480290622,44201,1,2025,8401,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2017,1835,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2018,6153,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2019,6371,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2020,6297,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2021,6178,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2022,5894,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2023,6103,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2024,6500,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480291610,44201,1,2025,5980,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2016,5220,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2017,5255,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2018,6497,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2019,6280,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2020,6367,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2021,6131,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2022,5493,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2023,5973,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2024,6460,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910503,44201,1,2025,6566,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2016,5492,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2017,5427,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2018,5736,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2019,6309,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2020,6398,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2021,6108,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2022,5944,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2023,6045,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2024,6572,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480910505,44201,1,2025,6269,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2025,36,TCEQ_Ozone_111325-010126_8sites.txt
480290502,44201,1,2025,12,TCEQ_Ozone_111325-010126_8sites.txt
